Date,Open,High,Low,Close,Adj Close,Volume
2019/2/22,7055.200195,7094.290039,7050.009766,7090.629883,7090.629883,2417680000
2019/2/21,7047.080078,7063.069824,7001.799805,7035.160156,7035.160156,2119080000
2019/2/20,7070.240234,7096.149902,7027.370117,7062.339844,7062.339844,2181760000
2019/2/19,7033.370117,7089.100098,7032.779785,7066.609863,7066.609863,2120790000
2019/2/15,7066.379883,7073.990234,7022.299805,7055.180176,7055.180176,2257750000
2019/2/14,6986.509766,7047.879883,6969.689941,7022.419922,7022.419922,2103370000
2019/2/13,7038.319824,7062.580078,7009.72998,7015.879883,7015.879883,2093800000
2019/2/12,6960.549805,7021.759766,6948.330078,7014.669922,7014.669922,2124330000
2019/2/11,6941.259766,6958.330078,6893.799805,6909.180176,6909.180176,1897800000
2019/2/8,6843.330078,6914.560059,6836.700195,6913.129883,6913.129883,2086260000
2019/2/7,6934.330078,6954.77002,6854.350098,6904.97998,6904.97998,2295080000
2019/2/6,7023.890137,7034.939941,6969.830078,6997.620117,6997.620117,2167130000
2019/2/5,6969.370117,7029.77002,6967.939941,7023.52002,7023.52002,2265520000
2019/2/4,6876.560059,6960.970215,6872.600098,6959.959961,6959.959961,2099470000
2019/2/1,6872.72998,6921.950195,6857.310059,6875.52002,6875.52002,2383430000
2019/1/31,6840.930176,6936.339844,6837.919922,6906.839844,6906.839844,2918710000
2019/1/30,6708.560059,6826.919922,6688.330078,6807.910156,6807.910156,2544050000
2019/1/29,6695.709961,6701.470215,6613.419922,6632.790039,6632.790039,2089690000
2019/1/28,6691.839844,6697.529785,6644.310059,6697.089844,6697.089844,2435480000
2019/1/25,6755.669922,6800.970215,6733.319824,6787.370117,6787.370117,2440840000
2019/1/24,6680.339844,6710.72998,6656.52002,6702.549805,6702.549805,2400290000
2019/1/23,6689.080078,6712.859863,6584.5,6658.759766,6658.759766,2274420000
2019/1/22,6736.649902,6738.569824,6603.560059,6646.810059,6646.810059,2380950000
2019/1/18,6771.52002,6816.22998,6727.939941,6784.609863,6784.609863,2451240000
2019/1/17,6646.189941,6747.279785,6637.100098,6718.450195,6718.450195,2128840000
2019/1/16,6677.379883,6720.410156,6665.049805,6668.560059,6668.560059,2149580000
2019/1/15,6571.149902,6674.529785,6567.319824,6669.640137,6669.640137,2038090000
2019/1/14,6536.370117,6566.870117,6512.640137,6541.040039,6541.040039,1942210000
2019/1/11,6579.890137,6604.560059,6562.040039,6601.399902,6601.399902,2066500000
2019/1/10,6551.049805,6625.109863,6517.540039,6620.939941,6620.939941,2179080000
2019/1/9,6576.540039,6631.060059,6549.439941,6600.689941,6600.689941,2422590000
2019/1/8,6555.910156,6574.72998,6457,6551.850098,6551.850098,2378290000
2019/1/7,6434.549805,6521.439941,6412.97998,6488.25,6488.25,2507550000
2019/1/4,6250.049805,6445.200195,6234.589844,6422.669922,6422.669922,2579550000
2019/1/3,6274.759766,6292.680176,6139.399902,6147.129883,6147.129883,2607290000
2019/1/2,6198.680176,6394.740234,6198.680176,6360.870117,6360.870117,2261800000
2018/12/31,6354.850098,6365.390137,6273.939941,6329.970215,6329.970215,2098560000
2018/12/28,6326.620117,6388.359863,6233.689941,6285.27002,6285.27002,2199090000
2018/12/27,6168.600098,6291.990234,6043.450195,6288.299805,6288.299805,2415870000
2018/12/26,5969.080078,6263.819824,5921.859863,6262.77002,6262.77002,2557940000
2018/12/24,5994.080078,6075.169922,5895.120117,5899.350098,5899.350098,1647270000
2018/12/21,6293.049805,6308.310059,6013.97998,6046.560059,6046.560059,4534120000
2018/12/20,6312.720215,6380.970215,6161.850098,6243.189941,6243.189941,3258090000
2018/12/19,6480.310059,6575.390137,6284.720215,6342.970215,6342.970215,2899950000
2018/12/18,6503.120117,6551.040039,6434.600098,6491.52002,6491.52002,2585400000
2018/12/17,6571,6621.629883,6399.549805,6448.390137,6448.390137,2665240000
2018/12/14,6679.910156,6710.410156,6585.310059,6594.959961,6594.959961,2200510000
2018/12/13,6805.700195,6833.779785,6724.040039,6767.970215,6767.970215,2143520000
2018/12/12,6800.549805,6867.660156,6761.779785,6763.959961,6763.959961,2412300000
2018/12/11,6782.410156,6788.470215,6650.830078,6704.240234,6704.240234,2246060000
2018/12/10,6603.359863,6710.390137,6534.330078,6682.740234,6682.740234,2367560000
2018/12/7,6806.629883,6849.379883,6594.540039,6613.279785,6613.279785,2475160000
2018/12/6,6652.129883,6840.5,6630.819824,6838.850098,6838.850098,2833870000
2018/12/4,7026.810059,7045.680176,6785.850098,6795.209961,6795.209961,2625810000
2018/12/3,7106.839844,7107,7013.200195,7062.129883,7062.129883,2621020000
2018/11/30,6902.240234,6951.129883,6872.290039,6949.009766,6949.009766,2542820000
2018/11/29,6890.839844,6938.02002,6839.450195,6892.399902,6892.399902,1983460000
2018/11/28,6756.129883,6914.790039,6713.290039,6913.330078,6913.330078,2390260000
2018/11/27,6639.390137,6715.410156,6609.080078,6701.040039,6701.040039,2067360000
2018/11/26,6616.790039,6679.910156,6590.890137,6678.339844,6678.339844,2011180000
2018/11/23,6525.02002,6591.560059,6524.549805,6527.350098,6527.350098,958950000
2018/11/21,6608.120117,6639.370117,6566.310059,6575.660156,6575.660156,1858050000
2018/11/20,6475.680176,6614.009766,6442.359863,6526.959961,6526.959961,2664950000
2018/11/19,6832.25,6841.439941,6623.370117,6642.919922,6642.919922,2354020000
2018/11/16,6823.029785,6898.129883,6797.430176,6867.02002,6867.02002,2438260000
2018/11/15,6750.629883,6908.830078,6702.419922,6890.450195,6890.450195,2508720000
2018/11/14,6896.200195,6916.100098,6736.180176,6769.870117,6769.870117,2540220000
2018/11/13,6858.589844,6951.439941,6811.680176,6830.910156,6830.910156,2343940000
2018/11/12,6990.370117,6998.799805,6819.379883,6829.100098,6829.100098,2289070000
2018/11/9,7095.450195,7104.390137,6982.890137,7039.149902,7039.149902,2418490000
2018/11/8,7176.189941,7192.319824,7125.140137,7158.589844,7158.589844,2462430000
2018/11/7,7068.5,7205.959961,7057.709961,7203.129883,7203.129883,2677530000
2018/11/6,6939.129883,7024.779785,6928,6988.850098,6988.850098,2285680000
2018/11/5,6946.149902,6952.930176,6859.799805,6937.089844,6937.089844,2166470000
2018/11/2,7042.299805,7085.27002,6909.069824,6965.290039,6965.290039,2889910000
2018/11/1,6980.790039,7071.839844,6932.209961,7069.169922,7069.169922,2708880000
2018/10/31,6933.109863,7030.509766,6924.089844,6967.100098,6967.100098,2899730000
2018/10/30,6673.839844,6816.27002,6652.529785,6810.120117,6810.120117,2681310000
2018/10/29,6954.689941,6973.189941,6574.75,6713.899902,6713.899902,2689550000
2018/10/26,6804.689941,6976.939941,6743.779785,6852.399902,6852.399902,2964780000
