address,choice,balance,timestamp,day,dateUtc,authorIpfsHash,relayerIpfsHash,,ÈÕÆÚ
0x8d07D225a769b7Af3A923481E1FdF49180e6A265,2,5,1606230939,1,"Tue, 24 Nov 2020 15:15:39 GMT",QmaujK9MyQmVcMJ4Ua62PnRL5xD11iak1mRy9ANeorKSDs,QmTrJSzZEa1BC1aqvMXpSUMXRd6tjuzACT6UUuBtRDTF3v,,"Tue, 24 Nov 20"
0x3B27c32b88d2c415a28FDA4c9B245Aa8e6dD8B0C,1,53.40851453,1606232062,1,"Tue, 24 Nov 2020 15:34:22 GMT",QmUbY9QjkYuYcbAGM2QwuoR9PumNLtbc6BjUv1qmHmbdZy,QmbSXMiqJAAyjZZnUHddsLfEnXb3pQs4d4BUVw67akzuWy,,"Tue, 24 Nov 20"
0xb33ec1252e0E6D5fA87827cc74E8D7E2845D19d6,1,2,1606232391,1,"Tue, 24 Nov 2020 15:39:51 GMT",QmeAvcsz5vNzS4iqiVuvXxWKCHSuCw2jigA6SQ2WB91Mrw,QmRxmEnbSu35uEjjewCSCMVajgsm5toDxN8rfWyHtSRZLk,,"Tue, 24 Nov 20"
0x9221e53a5E8c3073f923a5655172D760FD38A1f5,1,984.66,1606232515,1,"Tue, 24 Nov 2020 15:41:55 GMT",QmQ14jWvUWHSMRG4XuyUfWyuEUQps5S6jbU2acKeZgnpQz,QmS3Yns1wrbEgcAGojgeG8XB1VzHo4aQJb7vvHLrHKvpq9,,"Tue, 24 Nov 20"
0xc1F8ef5171660F529A3991828926B16999B74A03,1,22.85610373,1606239207,1,"Tue, 24 Nov 2020 17:33:27 GMT",QmdmyPaYdWB2RzybY8ypNCnHDawSAkkWhbjg27XrjnHJJo,QmNmGqyVCt2KSpM5DyU9FPq8hXHRZppTWCUsUZyPkwBqRX,,"Tue, 24 Nov 20"
0xB0fb25C8Fc9Fb6c8DBD34432eFc39a32c8C05351,1,80,1606243366,1,"Tue, 24 Nov 2020 18:42:46 GMT",QmXhj3YFTrvhXhJpuCqJ58zqJrypbwwmKLUHn9t6tcyd1i,QmQ2P6FcF1aZdn4vTb6hFzNxKdyFUWkPdALBFPGN5MMPzn,,"Tue, 24 Nov 20"
0x0eA81DBD6F7a76a17c1e0e8A08587513a33CBE2B,1,79,1606245539,1,"Tue, 24 Nov 2020 19:18:59 GMT",QmRQnXMGuXZeDxRMQw8bRjQeY8jJU89eWAYP45frUMKAgC,QmP9zAAW7pNnC67TRtgA6yy9htbmobGvgXwi1pKWPfCw8C,,"Tue, 24 Nov 20"
0xFfDAC20Cf2Ca4bc0AbB9D66cd9c15fE01047F787,1,30.07486166,1606257094,1,"Tue, 24 Nov 2020 22:31:34 GMT",QmYLZgk6KHGA25s8dbiRRHn5t16SzzVVFWFjHwU3TVDDSs,Qmcvp4zGGchhp1hFFai4HJuAztC5DerKKrxbNgfbmkfAu2,,"Tue, 24 Nov 20"
0x267569102682e2EA8B3005eF08907002788D98e8,1,100,1606278593,2,"Wed, 25 Nov 2020 04:29:53 GMT",QmVY4FFFadiuez2Q2R8C7us6WUJXUxepC9m1otRB8aRnhn,QmZL2Tz6xrMi1sG2ficuLJQoJ3cd6w7eTA6KzvZW8aNkdb,,"Wed, 25 Nov 20"
0x4a0dE283b1d52ACB5822EBc1F4370781175Cea20,1,18.75699473,1606293319,2,"Wed, 25 Nov 2020 08:35:19 GMT",QmQwkbBYMWnjzgi1Efbu1wAaz9sG8r1sf53mRMQowQTV29,QmeDcKGJum2aFJfMvJHVzYo2hkUgUdUujZByo3F2mMiZg4,,"Wed, 25 Nov 20"
